id,Date,State,Total Confirmed Cases,Total Deaths
132,Mon 10/5,Maryland,128277,3961
133,Mon 10/5,Massachusetts,135462,9530
134,Mon 10/5,Michigan,142757,7141
135,Mon 10/5,Minnesota,104852,2136
136,Mon 10/5,Mississippi,100703,3013
137,Mon 10/5,Missouri,137297,2229
138,Mon 10/5,Montana,15127,190
139,Mon 10/5,Nebraska,48259,509
140,Mon 10/5,Nevada,82544,1624
141,Mon 10/5,New Hampshire,8680,444
142,Mon 10/5,New Jersey,210500,16138
143,Mon 10/5,New Mexico,30632,894
144,Mon 10/5,New York,470244,32827
145,Mon 10/5,North Carolina,220045,3656
146,Mon 10/5,North Dakota,23865,280
147,Mon 10/5,Northern Mariana Islands,75,2
148,Mon 10/5,Ohio,159964,4931
149,Mon 10/5,Oklahoma,91982,1055
150,Mon 10/5,Oregon,35056,574
151,Mon 10/5,Pennsylvania,169126,8300
152,Mon 10/5,Puerto Rico,51305,695
153,Mon 10/5,Rhode Island,25419,1121
154,Mon 10/5,South Carolina,152159,3456
155,Mon 10/5,South Dakota,24598,248
156,Mon 10/5,Tennessee,200603,2570
157,Mon 10/5,Texas,806535,16519
158,Mon 10/5,Utah,78733,483
159,Mon 10/5,Vermont,1817,58
160,Mon 10/5,Virgin Islands,1322,20
161,Mon 10/5,Virginia,152557,3276
162,Mon 10/5,Washington,94202,2253
163,Mon 10/5,West Virginia,16742,361
164,Mon 10/5,Wisconsin,141780,1393
165,Mon 10/5,Wyoming,6629,53
166,Tue 10/6,Alabama,160477,2580
167,Tue 10/6,Alaska,9656,54
168,Tue 10/6,Arizona,221937,5713
169,Tue 10/6,Arkansas,88071,1469
170,Tue 10/6,California,840322,16251
171,Tue 10/6,Colorado,74535,2094
172,Tue 10/6,Connecticut,59241,4521
173,Tue 10/6,Delaware,21466,646
174,Tue 10/6,District of Columbia,15652,631
175,Tue 10/6,Florida,720117,14766
176,Tue 10/6,Georgia,329101,7062
177,Tue 10/6,Guam,3787,56
178,Tue 10/6,Hawaii,13090,159
179,Tue 10/6,Idaho,45487,494
180,Tue 10/6,Illinois,308990,9100
181,Tue 10/6,Indiana,129281,3711
182,Tue 10/6,Iowa,93909,1414
183,Tue 10/6,Kansas,64077,706
184,Tue 10/6,Kentucky,77741,1255
185,Tue 10/6,Louisiana,170469,5592
186,Tue 10/6,Maine,5565,142
187,Tue 10/6,Maryland,128691,3967
188,Tue 10/6,Massachusetts,135957,9538
189,Tue 10/6,Michigan,143901,7163
190,Tue 10/6,Minnesota,105793,2140
191,Tue 10/6,Mississippi,101678,3027
192,Tue 10/6,Missouri,139172,2258
193,Tue 10/6,Montana,15633,192
194,Tue 10/6,Nebraska,48757,511
195,Tue 10/6,Nevada,83036,1630
196,Tue 10/6,New Hampshire,8731,446
197,Tue 10/6,New Jersey,211129,16147
198,Tue 10/6,New Mexico,30947,894
199,Tue 10/6,New York,471638,32836
200,Tue 10/6,North Carolina,221438,3691
201,Tue 10/6,North Dakota,24368,284
202,Tue 10/6,Northern Mariana Islands,75,2
203,Tue 10/6,Ohio,161299,4947
204,Tue 10/6,Oklahoma,93346,1066
205,Tue 10/6,Oregon,35347,581
206,Tue 10/6,Pennsylvania,170255,8318
207,Tue 10/6,Puerto Rico,51737,696
208,Tue 10/6,Rhode Island,25596,1125
209,Tue 10/6,South Carolina,152970,3471
210,Tue 10/6,South Dakota,24876,248
211,Tue 10/6,Tennessee,202257,2594
212,Tue 10/6,Texas,811191,16622
213,Tue 10/6,Utah,79449,489
214,Tue 10/6,Vermont,1821,58
215,Tue 10/6,Virgin Islands,1321,20
216,Tue 10/6,Virginia,153182,3291
217,Tue 10/6,Washington,94694,2261
218,Tue 10/6,West Virginia,16936,364
219,Tue 10/6,Wisconsin,143886,1410
220,Tue 10/6,Wyoming,6770,53
221,Wed 10/7,Alabama,161418,2601
222,Wed 10/7,Alaska,9784,55
223,Wed 10/7,Arizona,222558,5733
224,Wed 10/7,Arkansas,88880,1482
225,Wed 10/7,California,843732,16358
226,Wed 10/7,Colorado,75410,2097
227,Wed 10/7,Connecticut,59364,4522
228,Wed 10/7,Delaware,21550,649
229,Wed 10/7,District of Columbia,15697,632
230,Wed 10/7,Florida,722699,14903
231,Wed 10/7,Georgia,330769,7089
232,Wed 10/7,Guam,3837,58
233,Wed 10/7,Hawaii,13196,162
234,Wed 10/7,Idaho,46233,502
235,Wed 10/7,Illinois,311614,9138
236,Wed 10/7,Indiana,130569,3727
237,Wed 10/7,Iowa,95205,1419
238,Wed 10/7,Kansas,65131,725
239,Wed 10/7,Kentucky,78669,1261
240,Wed 10/7,Louisiana,172625,5604
241,Wed 10/7,Maine,5604,142
242,Wed 10/7,Maryland,129158,3973
243,Wed 10/7,Massachusetts,136492,9557
244,Wed 10/7,Michigan,145131,7171
245,Wed 10/7,Minnesota,106704,2154
246,Wed 10/7,Mississippi,102241,3051
247,Wed 10/7,Missouri,141262,2334
248,Wed 10/7,Montana,16194,193
249,Wed 10/7,Nebraska,49396,516
250,Wed 10/7,Nevada,83500,1639
251,Wed 10/7,New Hampshire,8800,448
252,Wed 10/7,New Jersey,211638,16152
253,Wed 10/7,New Mexico,31372,896
254,Wed 10/7,New York,472994,32850
255,Wed 10/7,North Carolina,223349,3716
256,Wed 10/7,North Dakota,24861,308
257,Wed 10/7,Northern Mariana Islands,75,2
258,Wed 10/7,Ohio,162723,4970
259,Wed 10/7,Oklahoma,94352,1075
260,Wed 10/7,Oregon,35646,585
261,Wed 10/7,Pennsylvania,171550,8347
262,Wed 10/7,Puerto Rico,51768,705
263,Wed 10/7,Rhode Island,25776,1126
264,Wed 10/7,South Carolina,153705,3502
265,Wed 10/7,South Dakota,25906,258
266,Wed 10/7,Tennessee,204286,2615
267,Wed 10/7,Texas,817166,16747
268,Wed 10/7,Utah,80522,499
269,Wed 10/7,Vermont,1827,58
270,Wed 10/7,Virgin Islands,1322,20
271,Wed 10/7,Virginia,153691,3303
272,Wed 10/7,Washington,95500,2274
273,Wed 10/7,West Virginia,17139,369
274,Wed 10/7,Wisconsin,146376,1427
275,Wed 10/7,Wyoming,6899,53
276,Thu 10/8,Alabama,161975,2637
277,Thu 10/8,Alaska,9919,56
278,Thu 10/8,Arizona,223407,5743
279,Thu 10/8,Arkansas,90145,1503
280,Thu 10/8,California,847384,16425
281,Thu 10/8,Colorado,76186,2107
282,Thu 10/8,Connecticut,59748,4527
283,Thu 10/8,Delaware,21682,651
284,Thu 10/8,District of Columbia,15765,634
285,Thu 10/8,Florida,726005,15067
286,Thu 10/8,Georgia,332142,7125
287,Thu 10/8,Guam,3903,59
288,Thu 10/8,Hawaii,13297,163
289,Thu 10/8,Idaho,46848,504
290,Thu 10/8,Illinois,314725,9173
291,Thu 10/8,Indiana,132030,3742
292,Thu 10/8,Iowa,96749,1433
293,Thu 10/8,Kansas,65296,741
294,Thu 10/8,Kentucky,79550,1272
295,Thu 10/8,Louisiana,173149,5609
296,Thu 10/8,Maine,5639,142
297,Thu 10/8,Maryland,129919,3979
298,Thu 10/8,Massachusetts,136936,9565
299,Thu 10/8,Michigan,146548,7194
300,Thu 10/8,Minnesota,107975,2160
301,Thu 10/8,Mississippi,102819,3074
302,Thu 10/8,Missouri,142732,2360
303,Thu 10/8,Montana,16766,197
304,Thu 10/8,Nebraska,50059,518
305,Thu 10/8,Nevada,83971,1650
306,Thu 10/8,New Hampshire,8878,448
307,Thu 10/8,New Jersey,212936,16161
308,Thu 10/8,New Mexico,31756,899
309,Thu 10/8,New York,474829,32859
310,Thu 10/8,North Carolina,225738,3744
311,Thu 10/8,North Dakota,25388,314
312,Thu 10/8,Northern Mariana Islands,75,2
313,Thu 10/8,Ohio,164262,4983
314,Thu 10/8,Oklahoma,95564,1085
315,Thu 10/8,Oregon,36121,596
316,Thu 10/8,Pennsylvania,172971,8372
317,Thu 10/8,Puerto Rico,52294,715
318,Thu 10/8,Rhode Island,26045,1127
319,Thu 10/8,South Carolina,154755,3514
320,Thu 10/8,South Dakota,26441,272
321,Thu 10/8,Tennessee,206265,2676
322,Thu 10/8,Texas,821732,16853
323,Thu 10/8,Utah,81975,504
324,Thu 10/8,Vermont,1838,58
325,Thu 10/8,Virgin Islands,1324,20
326,Thu 10/8,Virginia,155535,3328
327,Thu 10/8,Washington,96227,2280
328,Thu 10/8,West Virginia,17325,370
329,Thu 10/8,Wisconsin,149613,1436
330,Thu 10/8,Wyoming,7092,54
331,Fri 10/9,Alabama,163465,2653
332,Fri 10/9,Alaska,10099,56
333,Fri 10/9,Arizona,224101,5746
334,Fri 10/9,Arkansas,91312,1530
335,Fri 10/9,California,851228,16502
336,Fri 10/9,Colorado,77068,2115
337,Fri 10/9,Connecticut,60038,4530
338,Fri 10/9,Delaware,21827,651
339,Fri 10/9,District of Columbia,15843,634
340,Fri 10/9,Florida,728913,15185
341,Fri 10/9,Georgia,333934,7178
342,Fri 10/9,Guam,3958,59
343,Fri 10/9,Hawaii,13461,165
344,Fri 10/9,Idaho,47674,506
345,Fri 10/9,Illinois,317501,9207
346,Fri 10/9,Indiana,133864,3761
347,Fri 10/9,Iowa,98023,1454
348,Fri 10/9,Kansas,67086,765
349,Fri 10/9,Kentucky,80633,1283
350,Fri 10/9,Louisiana,173406,5635
351,Fri 10/9,Maine,5666,143
352,Fri 10/9,Maryland,130652,3990
353,Fri 10/9,Massachusetts,137701,9577
354,Fri 10/9,Michigan,147880,7202
355,Fri 10/9,Minnesota,109365,2174
356,Fri 10/9,Mississippi,103681,3080
357,Fri 10/9,Missouri,145034,2463
358,Fri 10/9,Montana,17478,206
359,Fri 10/9,Nebraska,50168,522
360,Fri 10/9,Nevada,84785,1658
361,Fri 10/9,New Hampshire,8970,450
362,Fri 10/9,New Jersey,213801,16164
363,Fri 10/9,New Mexico,32241,902
364,Fri 10/9,New York,476422,32867
365,Fri 10/9,North Carolina,227756,3768
366,Fri 10/9,North Dakota,26044,325
367,Fri 10/9,Northern Mariana Islands,75,2
368,Fri 10/9,Ohio,166102,4994
369,Fri 10/9,Oklahoma,97088,1091
370,Fri 10/9,Oregon,36538,600
371,Fri 10/9,Pennsylvania,174352,8387
372,Fri 10/9,Puerto Rico,52892,720
373,Fri 10/9,Rhode Island,26294,1130
374,Fri 10/9,South Carolina,155676,3530
375,Fri 10/9,South Dakota,27215,277
376,Fri 10/9,Tennessee,207823,2702
377,Fri 10/9,Texas,826241,16955
378,Fri 10/9,Utah,83307,508
379,Fri 10/9,Vermont,1846,58
380,Fri 10/9,Virgin Islands,1324,20
381,Fri 10/9,Virginia,156649,3344
382,Fri 10/9,Washington,96837,2288
383,Fri 10/9,West Virginia,17707,376
